scope,day_of_week,hour,within_ad_schedule,scheduled_window,Impressions,Clicks,Cost,Conversions
LeadsSearch1_alldays_last60d,Sunday,20,NO,08:00-20:00,45,5,10.9,0.0
LeadsSearch1_alldays_last60d,Sunday,21,NO,08:00-20:00,46,0,0.0,0.0
LeadsSearch1_alldays_last60d,Sunday,22,NO,08:00-20:00,65,4,2.74,0.0
LeadsSearch1_alldays_last60d,Sunday,23,NO,08:00-20:00,56,3,5.03,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,00,NO,07:00-20:00,6,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,01,NO,07:00-20:00,1,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,02,NO,07:00-20:00,2,1,2.82,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,05,NO,07:00-20:00,1,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,06,NO,07:00-20:00,4,1,2.29,1.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,07,yes,07:00-20:00,21,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,08,yes,07:00-20:00,36,2,3.84,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,09,yes,07:00-20:00,19,4,10.12,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,10,yes,07:00-20:00,20,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,11,yes,07:00-20:00,17,2,3.0964,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,12,yes,07:00-20:00,21,3,5.23,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,13,yes,07:00-20:00,13,0,0.0,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,14,yes,07:00-20:00,52,1,1.1,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,15,yes,07:00-20:00,38,7,14.5697,0.0
LeadsSearch1_alldays_since_schedule_2026-08-17,Monday,16,yes,07:00-20:00,33,1,1.7762,0.0
