Date,Campaignname,CampaignID,Campaignstatus,ConversionTrackerId,ConversionTypeName,ConversionCategory,ExternalConversionSource,Conversions,conversionsByConversionDate,EstimatedTotalConversions,allConversionsByConversionDate,ConversionValue,EstimatedTotalConversionValue,allConversionsValueByConversionDate,Viewthroughconversions,EstimatedCrossDeviceConversions
2025-07-08,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,0,0,0,1,0,0,1,0,0
2025-07-08,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,9,18,1,9,18,0,0
2025-07-08,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-09,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,4,0,4,0,0,4,0,0
2025-07-09,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,0,8,0,0,8,0,0
2025-07-09,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,1,1,1,1,1,1,0,0
2025-07-10,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,3,0,3,0,0,3,0,0
2025-07-10,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,0,4,0,0,4,0,0
2025-07-10,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-10,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-07-11,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,1,0,1,0,0,1,0,0
2025-07-11,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,1,4,0,1,4,0,0
2025-07-11,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,3,2,3,2,3,3,2,0,0
2025-07-11,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-07-11,Leads-Search-1,22767146837,enabled,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,1,1,0,1,1,0,0
2025-07-12,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,20,18,20,18,20,20,18,0,0
2025-07-12,Campaign #1,22625352639,paused,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,0,0,2,2,0,2,2,0,0
2025-07-12,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,0,0,1,1,0,1,1,0,0
2025-07-12,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,27,25,0,27,25,0,0
2025-07-12,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,5,5,5,5,5,5,5,0,0
2025-07-12,Leads-Search-1,22767146837,enabled,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,1,1,0,1,1,0,0
2025-07-13,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,1,7,1,7,1,1,7,0,0
2025-07-13,Campaign #1,22625352639,paused,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,0,0,0,5,0,0,5,0,0
2025-07-13,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,3,3,3,3,3,3,3,0,0
2025-07-13,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-13,Leads-Search-1,22767146837,enabled,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-13,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,1,1,0,1,1,0,0
2025-07-13,Leads-Search-1,22767146837,enabled,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,4,4,0,4,4,0,0
2025-07-14,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,4,0,4,0,0,4,0,0
2025-07-14,Campaign #1,22625352639,paused,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,0,1,0,1,0,0,1,0,0
2025-07-14,Leads-Search-1,22767146837,enabled,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,3,3,3,3,3,3,3,0,0
2025-07-14,Leads-Search-1,22767146837,enabled,7154049482,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,Website,2,2,2,2,2,2,2,0,0
2025-07-14,Leads-Search-1,22767146837,enabled,7154049485,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-14,Leads-Search-1,22767146837,enabled,7154049488,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,Website,1,1,1,1,1,1,1,0,0
2025-07-14,Leads-Search-1,22767146837,enabled,7157480846,Local actions - Website visits,Page view,Google hosted,0,0,3,3,0,3,3,0,0
2025-07-14,Leads-Search-1,22767146837,enabled,7160506736,Local actions - Other engagements,Engagement,Google hosted,0,0,1,1,0,1,1,0,0
2025-07-15,Campaign #1,22625352639,paused,7152843979,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,Website,0,3,0,3,0,0,3,0,0
