Campaignname,CampaignID,AssetGroupID,AssetGroupName,AssetGroupStatus,AssetID,AssetFieldType,AssetType,AssetSource,AssetText,YouTubeVideoID,YouTubeVideoTitle,FullSizeImageURL
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912568,Headline,Text,Advertiser,In-Person or Virtual Visits,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912571,Headline,Text,Advertiser,Care Built for Real Life,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912574,Headline,Text,Advertiser,Doctors Who Have Time,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912577,Long headline,Text,Advertiser,Told your labs are normal but you still don't feel well? We look deeper — and we listen.,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912580,Description,Text,Advertiser,Doctors who listen. Book a free 10-minute intro call.,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912583,Description,Text,Advertiser,"Warm, evidence-informed naturopathic care in Hopkins, MN — in person or virtual.",,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912586,Description,Text,Advertiser,"Your goals, history, labs, and lifestyle — a plan built around your real life.",,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,391852912589,Description,Text,Advertiser,Family-owned clinic serving the west metro since 2018. Telehealth in MN & WI.,,,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,394135133500,YouTube video,YouTube video,Advertiser,,LgH5zsiiwYc,Our first appointments last two hours. Here's why. | Panka Natural Health,
Leads-PMax-Video-1,24032465476,6730142616,A doctor who listens,Enabled,394225172169,YouTube video,YouTube video,Advertiser,,ZTn9Ob94J6A,"Naturopathic care for the whole family | Panka Natural Health, Hopkins MN",
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242816599582,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17285183542112037506
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242816599588,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/15444374312066684441
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242816640157,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10405900098705216532
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242817070015,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10451823213301243684
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242817103246,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/378777997263674057
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242817218335,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/11514805319088448200
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242856635217,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/2158639382095807523
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,242857152012,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/5008492856888675487
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,366753269303,Headline,Text,Advertiser,Evidence-Informed Care,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,366880024621,Headline,Text,Advertiser,Free 10-Min Intro Call,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,371913010074,Headline,Text,Advertiser,Functional Lab Testing,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852912562,Headline,Text,Advertiser,"Naturopathic Care, Hopkins MN",,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986836,Headline,Text,Advertiser,Normal Isn't Optimal,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986839,Headline,Text,Advertiser,Prevention Starts Now,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986842,Headline,Text,Advertiser,"Small Shifts, Lasting Change",,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986845,Headline,Text,Advertiser,See What Labs Really Say,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986848,Headline,Text,Advertiser,"Proactive, Not Reactive",,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986851,Headline,Text,Advertiser,"Your Plan, Built for Life",,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986854,Long headline,Text,Advertiser,Normal isn't optimal. Functional lab analysis that finds what standard labs miss.,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986857,Description,Text,Advertiser,Look deeper at your labs. Free 10-minute intro call.,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986860,Description,Text,Advertiser,Functional lab analysis catches early shifts before they become bigger problems.,,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986863,Description,Text,Advertiser,"Sustainable plans that stick — no 30-supplement protocols, no assembly-line visits.",,,
Leads-PMax-Video-1,24032465476,6730142790,Functional labs & prevention,Enabled,391852986866,Description,Text,Advertiser,"Evidence-informed prevention for heart, brain, and metabolic health. Hopkins, MN.",,,
