Date,Yearmonth,DayOfWeek,Campaignname,CampaignID,Campaignstatus,CampaignPrimaryStatusReasons,assetGroupId,assetGroupName,assetGroupStatus,ad_strength,ConversionTypeName,ConversionCategory,ConversionTrackerId,Conversions,ConversionValue,AllConversions,AllConversionValue,CrossDeviceConversions
2025-07-06,2025|07,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,159.0,159.0,159.0,159.0,0.0
2025-07-06,2025|07,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,10.0,10.0,14.0,14.0,0.0
2025-07-06,2025|07,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,4.0,4.0,5.0,5.0,0.0
2025-07-06,2025|07,0 Sunday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,204.73,204.73,242.73,242.73,0.0
2025-07-07,2025|07,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,34.0,34.0,34.0,34.0,0.0
2025-07-07,2025|07,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,4.0,4.0,4.0,4.0,0.0
2025-07-07,2025|07,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-jacob),Page view,7154049485,1.0,1.0,1.0,1.0,0.0
2025-07-07,2025|07,1 Monday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,10.0,10.0,35.0,35.0,0.0
2025-07-08,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Begin checkout (Page load www.pankanaturalhealth.com/schedule-an-appointment),Begin checkout,7152843979,17.0,17.0,17.0,17.0,0.0
2025-07-08,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/meet-dr-haley),Page view,7154049482,0.0,0.0,1.0,1.0,0.0
2025-07-08,2025|07,2 Tuesday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,1.0,1.0,9.0,9.0,0.0
2025-07-11,2025|07,5 Friday,Campaign #1,22625352639,paused,"Campaign paused, Has asset groups limited by policy",6582377332,Asset Group 1,Enabled,Average,Page view (Page load www.pankanaturalhealth.com/whypnh),Page view,7154049488,0.0,0.0,1.0,1.0,0.0
