Date,Campaignname,CampaignID,AdvertisingChannelType,AdvertisingChannelSubType,Campaignstatus,CampaignServingStatus,CampaignBidStrategyStatus,Currencycode,Timezone,ConfiguredBudget,BudgetName,BudgetId,BudgetStatus,BudgetPeriod,IsBudgetExplicitlyShared,CampaignMobileBidModifier,Impressions,Clicks,Cost,Ctr,CPC,CPM,interactions,Conversions,CostPerConversion,ConversionRate,conversionsByConversionDate,allConversionsByConversionDate,EstimatedCrossDeviceConversions,ROAS,Invalidclicks,SearchImpressionShare,SearchImpressionShareRaw,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchExactMatchImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,SearchClickShare,EligibleSearchClicks,LostSearchClicks,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToBudget,LostImpressionsDueToRank,dailybudget,Budget,budgetUsedPortion
2025-07-17,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,514,27,58.6542,0.0525,2.1724,114.1133,27,4,14.6636,0.1481,5,9,0,0.0682,7,0.1074,0.1074,0.0096,0.883,0.1,0.0999,0.4118,0.9,0.9,0.01,0.01,0.1227,220,193,4199,3748,40,3708,15,15,3.9103
2025-07-18,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,0,2,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-18,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,341,24,63.6183,0.0704,2.6508,186.5639,24,27,2.3562,1.125,21,39,3,0.4244,0,0.1177,0.1177,0.2525,0.6298,0.1,0.0999,0.4545,0.66,0.72,0.25,0.25,0.0999,240,216,2600,2294,656,1637,15,15,4.2412
2025-07-19,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,3,3,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-19,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,363,24,60.5027,0.0661,2.5209,166.6741,24,3,20.1676,0.125,6,7,0,0.0496,7,0.1462,0.1462,0.0117,0.8421,0.12,0.0999,0.5556,0.87,0.9,0.01,0.01,0.1332,180,156,2189,1869,26,1843,15,15,4.0335
2025-07-20,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,0,2,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-20,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,356,24,52.3723,0.0674,2.1822,147.1132,24,12,4.3644,0.5,10,32,0,0.2291,14,0.1392,0.1392,0,0.8608,0.11,0.0999,0.5556,0.89,0.9,0,0,0.1131,212,188,2285,1967,0,1967,15,15,3.4915
2025-07-21,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,2,2,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-21,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,393,21,68.3701,0.0534,3.2557,173.9697,21,9,7.5967,0.4286,8,10,0,0.1316,2,0.1098,0.1098,0.4348,0.4554,0.1,0.0999,0.5484,0.48,0.53,0.44,0.44,0.0999,210,189,3325,2960,1446,1514,15,15,4.558
2025-07-22,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,0,0,0,,,,0,0,,,2,2,0,,0,,,,,0,0,,0,0,0,0,,,,0,0,0,0,,,
2025-07-22,Leads-Search-1,22767146837,Search,,enabled,eligible,UNAVAILABLE,USD,America/Chicago,15,Leads-Search-1,14735867458,Enabled,day,False,-15%,424,22,53.036,0.0519,2.4107,125.0848,22,8,6.6295,0.3636,10,13,0,0.1508,7,0.1114,0.1114,0.0319,0.8567,0.1,0.0999,0.6071,0.88,0.9,0.03,0.03,0.1082,203,181,3385,3008,108,2900,15,15,3.5357
